StarID,JH
1726,2.315
1732,1.545
1734,1.58
1736,1.698
1737,1.639
1739,1.533
1741,1.544
1742,1.561
1745,1.572
1746,1.575
1748,1.739
1749,1.57
1750,1.736
1752,1.557
1753,2.021
1754,1.589
1757,1.62
1759,1.6
1764,1.55
1766,1.539
1769,1.587
1772,1.576
1775,1.513
1778,1.557
1779,1.653
1786,1.782
1788,1.611
1790,2.059
1791,1.51
1793,1.549
1795,1.557
1798,1.623
1801,1.549
1805,1.522
1810,1.625
1811,1.537
1813,1.579
1815,1.543
1817,1.537
1818,1.691
1820,1.525
1822,1.542
1823,1.615
1826,1.655
1828,1.887
1829,1.505
1831,1.548
1835,1.524
1844,1.506
1846,1.505
1847,1.543
1852,1.518
1853,1.618
1854,1.515
1856,1.53
1857,1.613
1864,1.585
1865,1.64
1866,1.586
1867,1.555
1879,1.533
1882,1.555
1891,1.543
1894,1.547
1895,1.533
1899,1.674
1904,1.7
1913,1.591
1914,1.592
1915,1.559
1925,1.539
1931,1.504
1932,1.528
1934,1.556
1935,1.64
1940,1.552
1941,1.651
1942,1.651
1943,1.563
1944,1.541
1947,1.65
1950,1.723
1951,1.583
1952,1.624
1958,1.549
1960,1.513
1962,1.525
1965,1.61
1968,1.759
1971,1.572
1981,1.622
1983,1.512
1986,1.549
1989,1.627
1993,1.61
1997,1.625
1998,1.628
1999,1.517
2001,1.569
2002,1.594
2008,1.515
2013,1.546
2015,1.507
2018,1.524
2019,1.627
2020,1.62
2022,1.62
2023,1.597
2024,1.506
2025,1.574
2027,1.54
2028,1.508
2035,1.527
2046,1.523
2048,1.503
2049,1.527
2052,1.565
2059,1.531
2064,1.641
2071,1.508
2073,1.518
2074,1.569
2081,1.553
2083,1.517
2085,1.602
2086,1.622
2089,1.534
2090,1.528
2091,1.531
2094,1.52
2098,1.501
2107,1.561
2108,1.614
2110,1.677
2113,1.529
2115,1.633
2116,1.575
2117,1.502
2123,1.6
2124,1.616
2129,1.701
2130,1.54
2131,1.55
2133,1.635
2137,1.547
2142,1.508
2145,1.504
2146,1.616
2150,1.545
2157,1.853
2165,1.54
2167,1.508
2171,1.55
2173,1.587
2174,1.711
2178,1.526
2187,1.645
2193,1.82
2200,1.603
2202,1.738
2203,1.96
2206,1.679
2207,1.522
2208,1.552
2210,1.697
2213,1.595
2214,1.643
2220,1.528
2224,1.53
2226,1.521
2230,1.646
2233,1.556
2234,1.54
2239,1.532
2240,1.576
2242,1.532
2252,1.504
2255,1.5
2258,1.668
2265,1.642
2268,1.643
2270,1.653
2272,1.543
2273,1.605
2274,1.651
2275,1.654
2278,1.675
2279,1.616
2280,1.561
2283,1.545
2285,1.625
2288,1.531
2299,1.522
2301,1.534
2308,1.529
2309,1.547
2311,1.558
2312,1.557
2318,1.535
2321,1.557
2324,1.506
2325,1.559
2326,1.514
2341,1.516
2342,1.61
2343,1.586
2345,1.631
2347,1.515
2350,1.585
2353,1.663
2356,1.523
2360,1.602
2361,1.712
2363,1.557
2366,1.502
2369,1.524
2371,1.511
2374,1.523
2382,1.635
2383,1.579
2386,1.577
2392,1.577
